Week;Total_Price
2021-08-01;41842.80333378333
2021-09-01;46368.74662616402
2021-10-01;49997.42293717094
2021-11-01;57055.312357949755
2021-12-01;60432.70094812044
2022-01-01;57672.3778645393
2022-02-01;48520.20701682378
2022-03-01;45420.837310739465
2022-04-01;45755.090489448135
2022-05-01;44536.556161341025
2022-06-01;37829.12366227859
2022-07-01;30187.689017376928
2022-08-01;25093.754121216818
2022-09-01;23114.63648475642
2022-10-01;22511.61375032054
2022-11-01;21564.88574584286
2022-12-01;20608.332135491524
2023-01-01;19962.485035873335
2023-02-01;21654.553020472402
2023-03-01;24334.929606791055
2023-04-01;27444.847375483983
2023-05-01;29961.68134946417
2023-06-01;30765.042247019708
2023-07-01;31202.654517793017
2023-08-01;31187.902913535505
2023-09-01;30189.07864956129
2023-10-01;29792.079671157266
2023-11-01;32889.878977576474
2023-12-01;37178.14407478479
2024-01-01;41904.01960225451
